FECHA DE EVENTO,CATEGORÍA PC,INSTANCIA,NOMBRE ACTIVIDAD,MODALIDAD,ÁREA,PARTICIPACIÓN CIUDADANA,DIRECCIÓN,COMUNA,DESCRIPCIÓN,INSCRIPTOS,ASISTENTES,CANTIDAD DE VOTOS,RESULTADO VOTACION,RELEVAMIENTOS DE OPINIÓN
14/05/16,Proyecto,Votación Proyecto,CAMPEONATO DE BAILE,,Ministerio de Cultura,El público podrá elegir a la pareja favorita el Sábado 14 en la Usina del Arte a las 18 hs,Usina del Arte: Agustín R. Caffarena y Av. Don Pedro de Mendoza,1,,,,0,,
15/05/16,Proyecto,Experiencia BA,CAMPEONATO DE BAILE,,Ministerio de Cultura,Invitar a los vecinos a presenciar el campeonato de baile,Usina del Arte: Agustín R. Caffarena y Av. Don Pedro de Mendoza,1,,,,,,
16/05/16,Obra,Reunión de co creación,CENTRO DE METROPOLITANO AUIDOVISUAL CMA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),Reuniones de Co-Diseño con vecinos.,,13,,100,100,,,
17/05/16,Obra,Reunión Informativa,REJAS LUGANO,,Vice Jefatura,Reunión informativa sobre el ante proyecto de la obra,Av. F. F. de la Cruz y José L. Suarez,8,Se colocaran rejas perimetrales en el barrio Lugano XXVII,138,60,,,
23/05/16,Obra,Primera reunión,PLAZA LIBERTAD,,Vice Jefatura,1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias.,"LIBERTAD - ALVEAR, MARCELO T. DE - CERRITO - PARAGUAY",1,PUESTA EN VALOR + ILUMINACIÓN,408,74,,,
23/05/16,Proyecto,Votación Proyecto,WIFI,,Ministerio de Modernización Innovación y Tecnología,"En qué plaza de la Comuna 10 te gustaría contar con Wifi primero: Plaza de la Bandera, Plaza Velez Sarsfield o Plaza Guatemala?",,10,Incorporación de zonas wifi para fomentar la integración e inclusión tecnológica a través de una red de internet gratuita,,,13515,"1. Plaza Vélez Sarsfield - 9.262 - 68,5% 2. Plaza de la Bandera - 2.775 - 20,5% 3. Plaza Guatemala - 1.478 - 10,9%",
26/05/16,Obra,Primera reunión,PARQUE SAAVEDRA,,Vice Jefatura,"1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias. Club Agrupación San Jorge, VILELA 3340, 18hs",,12,"GARCIA DEL RIO, AV. - MELIAN, AV. - VILELA - PEREZ, ROQUE - BESARES - CONDE - PINTO - FREIRE, RAMON, CAP. GRAL.",790,400,,,
26/05/16,Obra,Visita de Obra,RED PLUVIAL RAMAL AUSTRIA,,Ministerio de Desarrollo Urbano y Transporte (MDUyT),"Se va a realizar una reunion informativa en donde se contaran detalles de la obra, tiempos, etc. Luego los vecinos se porán acercar al sector de camaras desde donde se puede observar la obra.",Austria y Av Figueroa Alcorta,2,Esta obra consiste en la ampliacion de los conductos existentes y colocacion de sumideros en las equinas.,320,70,,,
27/05/16,Obra,Primera reunión,ESTACIÓN SOLDATI,,Vice Jefatura,1ra reunión de vecinos para que nos acerquen sus ideas/propuestas/sugerencias.,J. MARTI Y RODRIGO DE TRIANA,8,Puesta en valor entorno estación de FFCC,306,30,,,
01/06/16,Obra,Reunión Informativa,CALLE EMILIO LAMARCA,,Vice Jefatura,"2° reunión informativa. En Santo Tome 3823 (Club Pacífico), 18 hs",Emilio Lamarca entre A. Jonte y J. A. García,11,VEREDAS+ACCESO GARAGES+PAISAJISMO,235,68,,,
